MovieID,Title,Genre,Runtime,Year,Lead Actor,Director,IMDB,RT (%),Budget,Box Office Revenue (in million $),Like it
1,Temporal Drift,Sci-Fi,118,2023,Chris Hemsworth,Denis Villeneuve,7.3,84,160,504,1
2,Eagle's Cry,Action,110,2021,Scarlett Johansson,Michael Bay,6.8,78,135,119,1
3,Moonlit Serenade,Romance,103,2022,Leonardo DiCaprio,Wes Anderson,7.5,86,55,59,1
4,Silent Whispers,Drama,107,2021,Meryl Streep,Steven Spielberg,6.7,76,45,31,0
5,Guardians Unleashed,Adventure,123,2023,Tom Cruise,James Cameron,8,90,150,500,1
6,Bloody Night,Horror,96,2022,Jennifer Lawrence,Jordan Peele,6.2,73,25,57,0
7,Lonely Roads,Drama,109,2021,Bradley Cooper,David O. Russell,7.4,85,65,80,0
8,Deserted Realms,Adventure,126,2023,Charlize Theron,Ridley Scott,7.8,88,140,480,1
9,Dusk Siege,Action,112,2022,Robert Pattinson,Christopher Nolan,7.1,81,130,115,1
10,Heart's Song,Romance,101,2021,Natalie Portman,Greta Gerwig,7.7,87,60,70,1
11,Alien Legacy,Sci-Fi,119,2023,Michael Fassbender,J.J. Abrams,7,79,145,113,0
12,Pandora Unleashed,Mystery,100,2022,Nicole Kidman,David Fincher,7.3,83,70,90,0
13,Blaze of Glory,Action,109,2021,Ryan Reynolds,Patty Jenkins,6.9,77,125,107,0
14,Riverside Melody,Romance,104,2023,Emma Stone,Damien Chazelle,7.9,88,50,50,1
15,Dark Echoes,Horror,94,2022,Daniel Kaluuya,Ari Aster,6.3,74,30,65,1
16,Golden Kingdom,Adventure,121,2021,Dwayne Johnson,Jon Favreau,7.6,83,135,120,1
17,Stellar Odyssey,Sci-Fi,114,2023,Brie Larson,Taika Waititi,7.2,82,155,130,1
18,Dreamscape,Drama,105,2022,Viola Davis,Martin Scorsese,7.1,80,55,55,0
19,Fatal Pursuit,Thriller,103,2021,Chris Evans,Rian Johnson,6.6,75,120,95,1
20,Endless Sky,Adventure,122,2023,Gal Gadot,George Miller,7.7,86,140,470,1
21,Galaxy's Lament,Sci-Fi,119,2021,Tom Hardy,James Cameron,7,81,158,126,0
22,Firestorm's Trail,Action,115,2023,Brad Pitt,Guy Ritchie,6.7,75,135,114,1
23,Eternal Melody,Romance,105,2022,Nicole Kidman,Spike Lee,7.8,86,51,73,0
24,Echoes of Tomorrow,Drama,104,2023,Kate Winslet,Martin Scorsese,7.1,78,54,44,1
25,Quest of the Unknown,Adventure,122,2021,Will Smith,Gore Verbinski,7.9,88,147,497,1
26,Vampire's Thirst,Horror,96,2022,Christian Bale,James Wan,6.4,71,23,68,0
27,Streets Unveiled,Drama,107,2021,Julia Roberts,Alfonso Cuarón,7.5,84,60,92,1
28,Island's Enigma,Adventure,121,2022,Leonardo DiCaprio,Wes Anderson,8.2,89,141,483,1
29,Warfront Defenders,Action,114,2023,Hugh Grant,John Woo,7.1,78,133,117,1
30,Winter's Embrace,Romance,101,2021,Helen Mirren,David O. Russell,7.3,83,58,59,0
31,Stellar Odyssey,Sci-Fi,118,2021,Jeremy Renner,George Lucas,7.2,81,144,110,0
32,Mysteries Unleashed,Mystery,97,2022,Angelina Jolie,Kenneth Branagh,7.5,85,71,95,0
33,Renegade's Quest,Action,108,2023,Matt Damon,George Miller,6.8,74,130,103,0
34,Sunrise Dreams,Romance,102,2022,Meryl Streep,Guillermo del Toro,7.9,88,50,48,1
35,Phantom's Curse,Horror,92,2021,Russell Crowe,Eli Roth,6.6,73,27,53,0
36,Oceans Uncharted,Adventure,121,2023,Tom Cruise,Peter Jackson,7.6,86,137,131,1
37,Cosmic Paradigms,Sci-Fi,116,2022,Ryan Reynolds,Christopher Nolan,7.4,84,142,127,1
38,Legacy's Imprint,Drama,103,2021,Emma Stone,Alejandro González Iñárritu,6.9,77,53,49,0
39,Darkness's Grasp,Thriller,100,2022,Mel Gibson,Paul Greengrass,6.8,76,118,98,1
40,Voyage Unbound,Adventure,119,2023,Robert Downey Jr.,Michael Bay,8,89,136,477,1
41,Neptune's Odyssey,Sci-Fi,120,2023,Jennifer Lawrence,Denis Villeneuve,7.3,83,159,129,1
42,Tempest's Wake,Action,117,2021,Samuel L. Jackson,Luc Besson,6.5,74,136,113,1
43,Whispers of Eternity,Romance,104,2022,Keira Knightley,Joel Coen,7.9,87,52,74,1
44,Futures Past,Drama,106,2023,Reese Witherspoon,Coen Brothers,7.2,79,57,43,0
45,Mystic Peaks,Adventure,124,2021,Johnny Depp,Ridley Scott,8.1,89,148,496,0
46,Wraith's Descent,Horror,93,2022,Natalie Portman,Mike Flanagan,6.1,70,24,66,1
47,City's Secrets,Drama,110,2021,Jodie Foster,Pedro Almodóvar,7.7,86,61,93,0
48,Desert's Mirage,Adventure,122,2022,Jack Nicholson,John McTiernan,8.3,90,143,482,0
49,Rebellion's End,Action,113,2023,Chris Hemsworth,Quentin Tarantino,7,77,132,118,1
50,Twilight's Embrace,Romance,100,2021,Cate Blanchett,Pedro Almodóvar,7.6,85,60,60,0
51,Orion's Call,Sci-Fi,115,2021,Bradley Cooper,James Gunn,7.5,85,146,109,1
52,Shadows Unveiled,Mystery,99,2022,Scarlett Johansson,Darren Aronofsky,7.4,82,69,94,0
53,Valor's Edge,Action,111,2023,Robert Pattinson,Rian Johnson,6.7,73,128,102,1
54,Dawn's Echo,Romance,101,2022,Saoirse Ronan,Lars von Trier,8,89,49,46,1
55,Haunting's Veil,Horror,95,2021,Anthony Hopkins,Rob Zombie,6.3,71,26,52,1
56,Tales of the Abyss,Adventure,123,2023,Nicolas Cage,Steven Soderbergh,7.7,87,139,133,0
57,Nebula's Secrets,Sci-Fi,117,2022,Margot Robbie,Ridley Scott,7.1,80,140,125,1
58,Times Forgotten,Drama,107,2021,Jessica Lange,Greta Gerwig,7,76,54,51,0
59,Shadows' Grip,Thriller,99,2022,Daniel Day-Lewis,Ron Howard,6.9,77,120,99,0
60,Endless Horizons,Adventure,120,2023,Hugh Jackman,Tim Burton,8.1,90,138,478,1
61,Starlit Pathways,Sci-Fi,121,2021,Dwayne Johnson,J.J. Abrams,7.4,82,155,122,1
62,Thunder's Echo,Action,116,2023,Idris Elba,Michael Mann,6.6,72,129,104,1
63,Moments of Time,Romance,103,2022,Emily Blunt,Sofia Coppola,7.8,85,48,70,0
64,Lost Memories,Drama,105,2021,Halle Berry,Richard Linklater,7.3,81,59,41,0
65,Golden Sands,Adventure,123,2023,Chris Pratt,Colin Trevorrow,8,88,145,490,1
66,Lycan's Curse,Horror,94,2021,Keanu Reeves,Ari Aster,6.2,69,21,63,0
67,Dreamscape's Secrets,Drama,109,2022,Anne Hathaway,Bong Joon-ho,7.6,84,55,89,1
68,Island's Song,Adventure,124,2021,Ben Affleck,Jon Favreau,8.3,91,149,479,1
69,Renegade's Dawn,Action,112,2023,George Clooney,Paul Verhoeven,6.9,75,125,115,1
70,Summer's Whispers,Romance,99,2022,Viola Davis,Barry Jenkins,7.7,87,62,58,1
71,Beyond the Cosmos,Sci-Fi,118,2021,Mark Ruffalo,Taika Waititi,7.6,86,150,105,1
72,Secrets in the Shadows,Mystery,98,2022,Charlize Theron,Paul Thomas Anderson,7.3,80,66,90,0
73,Guardian's Charge,Action,107,2023,Willem Dafoe,Edgar Wright,6.8,73,124,100,1
74,Echoes of Love,Romance,100,2021,Sandra Bullock,Wong Kar-wai,7.9,88,47,45,1
75,Reaper's Wake,Horror,91,2022,Jared Leto,Jordan Peele,6.5,74,22,50,0
76,Lost in the Abyss,Adventure,122,2023,Daniel Radcliffe,Jean-Pierre Jeunet,7.5,85,134,128,1
77,Galactic Quest,Sci-Fi,119,2021,Joaquin Phoenix,Patty Jenkins,7.2,79,138,123,1
78,Silent Echoes,Drama,104,2022,Maggie Smith,Todd Haynes,6.8,75,50,47,1
79,Lurker's Shadows,Thriller,98,2023,John C. Reilly,Bryan Singer,7,78,126,96,1
80,Boundless Oceans,Adventure,121,2021,Tom Hiddleston,Kathryn Bigelow,8.2,92,133,473,1
81,Stellar Trails,Sci-Fi,120,2022,Ryan Gosling,Denis Villeneuve,7.5,83,158,120,1
82,Warrior's Legacy,Action,114,2021,Helen Mirren,Kathryn Bigelow,6.4,73,130,101,1
83,Nostalgic Rain,Romance,102,2023,Rachel McAdams,Pedro Almodóvar,7.7,84,51,67,0
84,Forgotten Dreams,Drama,108,2022,Matt Damon,Quentin Tarantino,7.1,78,58,38,0
85,Eagle's Summit,Adventure,125,2021,Brad Pitt,Steven Spielberg,8.2,90,141,485,0
86,Vampire's Night,Horror,96,2023,Julianne Moore,James Wan,6,68,20,59,1
87,Urban Ties,Drama,107,2021,Nicole Kidman,Clint Eastwood,7.8,87,54,85,1
88,Lost in the Jungle,Adventure,126,2022,Tom Cruise,Martin Scorsese,8.4,91,147,475,0
89,Knight's Reckoning,Action,113,2023,Robert De Niro,Guy Ritchie,6.8,74,122,112,1
90,Winter's Melody,Romance,97,2021,Glenn Close,Spike Lee,7.5,86,53,55,0
91,Galaxy's Awakening,Sci-Fi,116,2022,Chris Evans,Joss Whedon,7.4,81,142,103,1
92,Puzzling Darkness,Mystery,97,2021,Meryl Streep,Christopher Nolan,7.2,79,65,87,0
93,Justice's Sword,Action,108,2022,Harrison Ford,John Woo,6.9,76,127,97,0
94,Evening's Lullaby,Romance,101,2023,Emma Watson,Wes Anderson,8,88,46,44,1
95,Demon's Lair,Horror,92,2021,Edward Norton,John Carpenter,6.6,75,23,49,0
96,Deserted Realms,Adventure,123,2022,Arnold Schwarzenegger,Ridley Scott,7.6,86,136,124,1
97,Alien Uprising,Sci-Fi,118,2023,Sigourney Weaver,Neill Blomkamp,7,77,137,119,1
98,Hidden Voices,Drama,106,2021,Kate Winslet,Kenneth Branagh,7.3,82,56,49,0
99,Midnight's Chase,Thriller,97,2022,Mel Gibson,Sam Mendes,7.1,79,129,95,1
100,Endless Vistas,Adventure,119,2021,Bill Murray,Paul Greengrass,8.1,89,132,468,1
